Week,Course,TimePerWeek,,,,,,,,,,,,,,,
1,CS410 Text Information Systems,5.6,,,,,,,,,,,,,,,
2,CS410 Text Information Systems,1.6,,,,,,,,,,,,,,,
3,CS410 Text Information Systems,0.0,,,,,,,,,,,,,,,
4,CS410 Text Information Systems,5.8,,,,,,,,,,,,,,,
5,CS410 Text Information Systems,10.8,,,,,,,,,,,,,,,
6,CS410 Text Information Systems,9.1,,,,,,,,,,,,,,,
7,CS410 Text Information Systems,14.0,,,,,,,,,,,,,,,
8,CS410 Text Information Systems,11.0,,,,,,,,,,,,,,,
9,CS410 Text Information Systems,6.7,,,,,,,,,,,,,,,
10,CS410 Text Information Systems,25.3,,,,,,,,,,,,,,,
11,CS410 Text Information Systems,16.0,,,,,,,,,,,,,,,
12,CS410 Text Information Systems,0.3,,,,,,,,,,,,,,,
13,CS410 Text Information Systems,12.7,,,,,,,,,,,,,,,
14,CS410 Text Information Systems,15.4,,,,,,,,,,,,,,,
15,CS410 Text Information Systems,9.1,,,,,,,,,,,,,,,
16,CS410 Text Information Systems,10.8,,,,,,,,,,,,,,,
17,CS410 Text Information Systems,16.0,,,,,,,,,,,,,,,
18,CS410 Text Information Systems,12.9,,,,,,,,,,,,,,,
1,CS498 Internet of Things,5.9,,,,,,,,,,,,,,,
2,CS498 Internet of Things,0.6,,,,,,,,,,,,,,,
3,CS498 Internet of Things,16.0,,,,,,,,,,,,,,,
4,CS498 Internet of Things,45.2,,,,,,,,,,,,,,,
5,CS498 Internet of Things,45.7,,,,,,,,,,,,,,,
6,CS498 Internet of Things,2.3,,,,,,,,,,,,,,,
7,CS498 Internet of Things,7.9,,,,,,,,,,,,,,,
8,CS498 Internet of Things,40.7,,,,,,,,,,,,,,,
9,CS498 Internet of Things,5.1,,,,,,,,,,,,,,,
10,CS498 Internet of Things,26.5,,,,,,,,,,,,,,,
11,CS498 Internet of Things,16.7,,,,,,,,,,,,,,,
12,CS498 Internet of Things,21.9,,,,,,,,,,,,,,,
13,CS498 Internet of Things,12.0,,,,,,,,,,,,,,,
14,CS498 Internet of Things,35.3,,,,,,,,,,,,,,,
15,CS498 Internet of Things,27.0,,,,,,,,,,,,,,,
16,CS498 Internet of Things,18.5,,,,,,,,,,,,,,,
17,CS498 Internet of Things,14.0,,,,,,,,,,,,,,,
18,CS498 Internet of Things,9.0,,,,,,,,,,,,,,,
1,CS598 Deep Learning for Healthcare,0.7,,,,,,,,,,,,,,,
